date,actual_admissions,predicted_admissions,baseline_prediction,error,absolute_error,percentage_error
2024-03-29,1188.0,1104.1119253799673,1215.0,83.88807462003274,83.88807462003274,0.0706128574242699
2024-03-30,1119.0,1023.699021101884,1188.0,95.300978898116,95.300978898116,0.0851662009813369
2024-03-31,967.0,849.534249484215,1119.0,117.46575051578498,117.46575051578498,0.1214744059108427
2024-04-01,992.0,1084.9578458387912,967.0,-92.95784583879116,92.95784583879116,0.0937075058858782
2024-04-02,1201.0,1203.6617304026408,992.0,-2.661730402640842,2.661730402640842,0.0022162617840473
2024-04-03,1159.0,1182.0095728667343,1201.0,-23.00957286673429,23.00957286673429,0.019852953293127
2024-04-04,1101.0,1126.9609566546933,1159.0,-25.96095665469329,25.96095665469329,0.0235794338371419
2024-04-05,1119.0,1066.7705010888133,1101.0,52.22949891118674,52.22949891118674,0.0466751554166101
2024-04-06,1005.0,983.3143881821264,1119.0,21.685611817873564,21.685611817873564,0.0215777232018642
2024-04-07,884.0,801.8402128099196,1005.0,82.15978719008035,82.15978719008035,0.092940935735385
2024-04-08,887.0,1024.8762877587303,884.0,-137.8762877587303,137.8762877587303,0.1554411361428752
2024-04-09,1009.0,1136.0590153543458,887.0,-127.05901535434576,127.05901535434576,0.1259256841965766
2024-04-10,1022.0,1059.318843294326,1009.0,-37.31884329432592,37.31884329432592,0.0365155022449373
2024-04-11,1042.0,1004.4329583033308,1022.0,37.56704169666921,37.56704169666921,0.0360528231254023
2024-04-12,975.0,953.700459728087,1042.0,21.299540271912974,21.299540271912974,0.0218456823301671
