date,total_admissions,total_deaths,avg_icu_utilization,avg_bed_occupancy,year,month,day_of_week,is_weekend,lag_1,lag_7,lag_14,rolling_mean_7,rolling_mean_14,rolling_std_7
2021-08-17,12805.0,1130.0,0.7432253892450855,0.7361170792386674,2021,8,1,0,11138.0,11536.0,9413.0,11716.714285714286,10941.42857142857,673.3126352311783
2021-08-18,12827.0,1179.0,0.7504902553274995,0.7464089280803202,2021,8,2,0,12805.0,11690.0,9484.0,11879.142857142857,11180.214285714286,792.4054998487373
2021-08-19,12792.0,1228.0,0.7552853215659023,0.7478598994177509,2021,8,3,0,12827.0,11985.0,9825.0,11994.42857142857,11392.142857142857,865.6891006866563
2021-08-20,12664.0,1250.0,0.7540510533430643,0.7438943075822125,2021,8,4,0,12792.0,11972.0,10216.0,12093.285714285714,11567.0,901.4728160600807
2021-08-21,12463.0,1240.0,0.7490701435973605,0.7266125137334688,2021,8,5,1,12664.0,11741.0,10187.0,12196.42857142857,11729.57142857143,895.7337508328063
2021-08-22,11651.0,1274.0,0.740881525869819,0.7138199274476057,2021,8,6,1,12463.0,10686.0,9803.0,12334.285714285714,11861.57142857143,670.4599700419326
2021-08-23,11618.0,1279.0,0.7466821494415655,0.7199978372500535,2021,8,0,0,11651.0,11138.0,10112.0,12402.857142857143,11969.142857142857,539.467462278497
2021-08-24,13092.0,1346.0,0.7650076174021732,0.7379039315650395,2021,8,1,0,11618.0,12805.0,11536.0,12443.857142857143,12080.285714285714,584.177892019091
2021-08-25,12740.0,1415.0,0.7675444181423532,0.7467489467304669,2021,8,2,0,13092.0,12827.0,11690.0,12431.42857142857,12155.285714285714,575.5292802117121
2021-08-26,13058.0,1367.0,0.7700464866110784,0.7445360816564631,2021,8,3,0,12740.0,12792.0,11985.0,12469.42857142857,12231.92857142857,610.9931415717189
2021-08-27,12802.0,1423.0,0.772624496098738,0.7412438666490148,2021,8,4,0,13058.0,12664.0,11972.0,12489.142857142857,12291.214285714286,620.4703668915508
2021-08-28,12308.0,1436.0,0.7593317539177846,0.7233927188139951,2021,8,5,1,12802.0,12463.0,11741.0,12467.0,12331.714285714286,624.3126887493099
2021-08-29,11244.0,1369.0,0.7529300606776237,0.71432994150518,2021,8,6,1,12308.0,11651.0,10686.0,12408.857142857143,12371.57142857143,723.9713227680604
2021-08-30,11390.0,1431.0,0.7601716461455802,0.7156866951872785,2021,8,0,0,11244.0,11618.0,11138.0,12376.285714285714,12389.57142857143,769.1982220221023
2021-08-31,12936.0,1496.0,0.7735585223623981,0.737716704316272,2021,8,1,0,11390.0,13092.0,12805.0,12354.0,12398.92857142857,746.9439961157676
2021-09-01,13076.0,1547.0,0.7820539117557929,0.7467002284872251,2021,9,2,0,12936.0,12740.0,12827.0,12402.0,12416.714285714286,785.6750812730364
2021-09-02,12825.0,1581.0,0.7727491360008835,0.7491734004680543,2021,9,3,0,13076.0,13058.0,12792.0,12368.714285714286,12419.07142857143,757.6883075702237
2021-09-03,12057.0,1494.0,0.77490087489676,0.7405637839324085,2021,9,4,0,12825.0,12802.0,12664.0,12262.285714285714,12375.714285714286,738.7703103323988
2021-09-04,12157.0,1491.0,0.7673588780555156,0.7226269268036433,2021,9,5,1,12057.0,12308.0,12463.0,12240.714285714286,12353.857142857143,739.4172737784545
2021-09-05,11080.0,1533.0,0.7494970352710288,0.708117036056249,2021,9,6,1,12157.0,11244.0,11651.0,12217.285714285714,12313.07142857143,777.8606803890369
2021-09-06,11008.0,1491.0,0.7555030860691401,0.7066207032731475,2021,9,0,0,11080.0,11390.0,11618.0,12162.714285714286,12269.5,855.134241758935
